user_id,user_fname,user_sname,user_email,user_pwd,user_status,user_type,user_gender,user_dob,user_country,user_application,user_clinic_name,user_clinic_website,user_image,user_service,user_expert_qualification,user_expert_job,user_expert_specality,user_add_time,user_profile_status,user_about,user_education,user_profession,user_adl1,user_adl2,user_city,user_state,user_pin,user_mobile,user_tel,user_religion,user_relationship,user_sexuality,user_fertiity_treatments,user_infertility_investigation,user_storage,user_interest
9,Paurush,Ankit,paurush.ankit@gmail.com,21feb1993,1,1,Transgender,1994-07-21,India,Single,,,Penguins.jpg,,,,,"2017-12-26 09:49:33",0,"everything u know","High School",Others,"bbdit college, near drizzling land",duhai,Aurangabad,Bihar,888888,9876548976,8765432323,Atheist,Cohabitation,Heterosexual,,,,N/A
10,paurush,ankit,paurush.ank1it@gmail.com,21feb1993,1,3,,0000-00-00,India,,,,,"Fertility Support",,,,"2017-12-21 11:13:48",0,,,,,,Belgaum,Karnataka,987654,8976543876,,,,,,,,
11,"Test Clinic",test,clinic@gmail.com,21feb1993,1,2,,0000-00-00,India,,"Vijaya Clinic",http://wishababy.com/pride2/,Penguins.jpg,"Fertility Clinics,Sperm / Cryo Banks,Fertility Support,Natural Fertility,Legal Services,Parenting Options,Counselling & Support,Complimentary / Holistic Therapy,Fertility and Baby Products,Baby and Breastfeeding Services,Baby and Parenting Groups",,,,"2017-12-31 00:19:09",0,"Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.  Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.  Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.  Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.  Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.",,,324567544,324567544,Aurangabad,Bihar,876543,7877778787,9876545678,,,,"Fertility Treatments:","Infertility investigation","Storage of sperms and eggs",
12,Rajeev,shukla,surya@gmail.com,21feb1993,1,2,,0000-00-00,India,,"Surya Clinic",http://localhost/pride2/register,19401947_1791582240869018_8880079957703657306_o.jpg,"Natural Fertility",,,,"2017-11-06 21:54:54",0,"Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.",,,"bbdit college, near drizzling land",duhai,Aurangabad,"Uttar Pradesh",201206,876543456,8976543456,,,,"Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.

Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.

Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.

Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.

Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.","Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.

Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.

Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.

Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.

Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.","Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.

Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.

Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.

Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.

Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.",
13,"m dsm ,m ds,m","ms dm, dsm s,",mdsmdsm,21feb1993,1,2,,0000-00-00,,,"Demo Clinic",,,"Natural Fertility",,,,"2017-11-09 12:49:13",0,"Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.",,,,,Aurangabad,Bihar,,,,,,,,,,
14,vfvbbq,jbnnnn,bhbhbbh,21feb1993,1,2,,0000-00-00,,,"Parents PAradise",,,"Natural Fertility",,,,"2017-11-09 12:49:22",0,"Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.",,,,,Aurangabad,Bihar,,,,,,,,,,
15,paurush,ankit,paurushankit@gmail.com,21feb1993,1,2,,0000-00-00,,,"Wish A Baby",,,"Natural Fertility",,,,"2017-11-09 12:49:39",0,"Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.",,,,,Aurangabad,Bihar,,,,,,,,,,
16,Vijaya,Clinic,clinica@gmail.com,21feb1993,1,2,,0000-00-00,,,"Vijaya Clinic",http://localhost/phpmyadmin/#PMAURL-0:index.php?db=&table=&server=1&target=&token=ef199d25b42eb7d6cdcc5f5964dd0b65,,"Natural Fertility",,,,"2017-11-06 21:55:28",0,"Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.",,,,,Aurangabad,Bihar,,,,,,,,,,
17,Shyama,Clinic,shyamaclinic@gmail.com,21feb1993,1,2,,0000-00-00,,,"Shyama Clinic",http://localhost/phpmyadmin/#PMAURL-0:index.php?db=&table=&server=1&target=&token=ef199d25b42eb7d6cdcc5f5964dd0b65,,"Natural Fertility",,,,"2017-11-06 21:55:32",0,"Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.",,,,,Aurangabad,Bihar,,,,,,,,,,
18,raja,Clinic,rajaclinic@gmail.com,21feb1993,1,2,,0000-00-00,,,"Raja Clinic",http://localhost/pride2/register,,"Sperm / cryo Banks",,,,"2017-11-06 21:55:34",0,"Lorem ipsum dolor sit amet, legere suscipit ne nec, ut duo verear propriae vituperata, atqui assum et usu. Voluptua prodesset vel et, ne per elitr dignissim rationibus. Cum id possit quaerendum, cu usu alienum imperdiet consequat. Ea choro clita dicunt sit, novum antiopam ea vim, eum cu cibo nemore.Ei purto doming pri, oblique apeirian ne sit. Legere audire nam ad, paulo graeci detraxit an vis. Ad nostrum mediocritatem vim, te ponderum sapientem torquatos mei. Ius at errem forensibus, cu quo quot euismod vivendo, corpora posidonium sadipscing no vis. Vel idque tibique eligendi cu, sed te nibh oporteat, cu vix iriure invidunt.Duo ne simul constituto ullamcorper. Everti timeam incorrupte ne eum, affert minimum commune qui ex. Noster possit abhorreant cu sit, modo vide deseruisse in eos. Alii oblique nostrud duo eu. Id vis natum aliquam, usu no liber audiam voluptatibus.Vix an soleat percipit. Et aeque mediocrem sea, an eos nusquam docendi. Et est placerat dignissim definitionem. Nostrud admodum his ut, nam te libris accumsan, vim nullam percipit ad.Causae omittantur quo at. Nam agam perfecto praesent eu, at justo pertinax duo, corpora iudicabit dissentiet ne vis. Id vel tale brute perpetua, nam meis noluisse appellantur in. Pri ne odio possim quaerendum, no per facer integre perpetua, ei nec veritus salutatus constituam. Percipit consulatu deterruisset nam ne, est tollit percipitur ex.",,,,,Aurangabad,Bihar,,,,,,,,,,
